Politician, Birth Full Name, Date of Birth, Age, Place of Birth, Political Parties/Affiliations, Position, Century of Presidentship/Vice-Presidentship
Joe Biden,Joseph Robinette Biden Jr.,1942-11-20, 79,"Scranton, Pennsylvania, U.S.","Democratic, Republicans",President,21
George W. Bush,George Walker Bush,1946-07-06, 75,"New Haven, Connecticut, U.S.","Democratic National Committee, Republican",President,21
Barack Obama,Barack Hussein Obama II,1961-08-04, 60,"Honolulu, Hawaii, U.S.","Democratic, Republican",President,21
Donald Trump,Donald John Trump,1946-06-14, 75,"Queens, New York City, U.S.","Democratic, Republican",President,21
George H. W. Bush,George Herbert Walker Bush,1924-06-12,Died,"Milton, Massachusetts","Democratic National Committee, Republican National Committee",President,20
Jimmy Carter,James Earl Carter Jr.,1924-10-01, 97,"Plains, Georgia","Democratic, Republican",President,20
Bill Clinton,William Jefferson Blythe III,1946-08-19, 75,Hope,"Democratic, Republican Revolution",President,20
Calvin Coolidge,John Calvin Coolidge Jr.,1872-07-04,Died,"Plymouth Notch, Vermont","Democratic Party, Republican",President,20
Dwight D. Eisenhower,David Dwight Eisenhower,1890-10-14,Died,"Denison, Texas","Democratic Party, Republican",President,20
Gerald Ford,Leslie Lynch King Jr.,1913-07-14,Died,"Omaha, Nebraska","Democratic, Leader of the House Republican Conference",President,20
Warren G. Harding,Warren Gamaliel Harding,1865-11-02,Died,"Blooming Grove, Ohio","Democratic National Convention, Republican",President,20
Herbert Hoover,Herbert Clark Hoover,1874-08-10,Died,"West Branch, Iowa","Democratic, Republican",President,20
Lyndon B. Johnson,Lyndon Baines Johnson,1908-08-27,Died,"Stonewall, Texas","Chair of the Senate Democratic Caucus, Republican Party",President,20
John F. Kennedy,John Fitzgerald Kennedy,1917-05-29,Died,"Brookline, Massachusetts","Democratic, Republican",President,20
William McKinley,William McKinley Jr.,1843-01-29,Died,"Niles, Ohio","Democratic, Republican",President,20
Richard Nixon,Richard Milhous Nixon,1913-01-09,Died,"Yorba Linda, California","Democratic Party, Republican",President,20
Ronald Reagan,Ronald Wilson Reagan,1911-02-06,Died,"Tampico, Illinois","Democratic, Republican",President,20
Franklin D. Roosevelt,Franklin Delano Roosevelt,1882-01-30,Died,"Hyde Park, New York","Democratic, Republican",President,20
Theodore Roosevelt,Theodore Roosevelt Jr.,1858-10-27,Died,"New York City, U.S.","Democratic, Republican",President,20
William Howard Taft,William Howard Taft,1857-09-15,Died,Cincinnati,"1896 Democratic National Convention, Republican",President,20
Harry S. Truman,Harry S. Truman,1884-05-08,Died,"Lamar, Missouri","Democratic, Republican",President,20
Woodrow Wilson,Thomas Woodrow Wilson,1856-12-28,Died,"Staunton, Virginia","Democratic, Republican",President,20
Joe Biden,Joseph Robinette Biden Jr.,1942-11-20, 79,"Scranton, Pennsylvania, U.S.","Democratic, Republicans",Vice President,21
Dick Cheney,Richard Bruce Cheney,1941-01-30, 80,"Lincoln, Nebraska, U.S.","Democratic, Chair of the House Republican Conference",Vice President,21
Al Gore,Albert Arnold Gore Jr.,1948-03-31, 73,"Washington, D.C., U.S.","Democratic, Republican",Vice President,21
Kamala Harris,Kamala Devi Harris[a],1964-10-20, 57,"Oakland, California, U.S.","Democratic, Republican",Vice President,21
Mike Pence,Michael Richard Pence,1959-06-07, 62,"Columbus, Indiana, U.S.","Democratic, House Republican Conference",Vice President,21
Spiro Agnew,Spiro Theodore Agnew,1918-11-09,Died,Baltimore,"Democratic, Republican",Vice President,20
Alben W. Barkley,Willie Alben Barkley,1877-11-24,Died,"Lowes, Kentucky","Chairman of the Senate Democratic Caucus, Republican",Vice President,20
George H. W. Bush,George Herbert Walker Bush,1924-06-12,Died,"Milton, Massachusetts","Democratic National Committee, Republican National Committee",Vice President,20
Calvin Coolidge,John Calvin Coolidge Jr.,1872-07-04,Died,"Plymouth Notch, Vermont","Democratic Party, Republican",Vice President,20
Charles Curtis,Charles Curtis,1860-01-25,Died,North Topeka,"Democratic Party, Leader of the Senate Republican Conference",Vice President,20
Charles G. Dawes,Charles G. Dawes,1865-08-27,Died,"Marietta, Ohio","Democratic, Republican",Vice President,20
Charles W. Fairbanks,Charles Warren Fairbanks,1852-05-11,Died,"Unionville Center, Ohio","Democratic, Republican",Vice President,20
Gerald Ford,Leslie Lynch King Jr.,1913-07-14,Died,"Omaha, Nebraska","Democratic, Leader of the House Republican Conference",Vice President,20
John Nance Garner,John Nance Garner III,1868-11-22,Died,Red River County,"Leader of the House Democratic Caucus, Republican Party",Vice President,20
Al Gore,Albert Arnold Gore Jr.,1948-03-31, 73,"Washington, D.C., U.S.","Democratic, Republican",Vice President,20
Hubert Humphrey,Hubert Horatio Humphrey Jr.,1911-05-27,Died,"Wallace, South Dakota","Democratic–Farmer–Labor, Republican",Vice President,20
Lyndon B. Johnson,Lyndon Baines Johnson,1908-08-27,Died,"Stonewall, Texas","Chair of the Senate Democratic Caucus, Republican Party",Vice President,20
Thomas Marshall,Thomas Riley Marshall,1854-03-14,Died,"North Manchester, Indiana","Democratic, Republican",Vice President,20
Walter Mondale,Walter Frederick Mondale,1928-01-05,Died,"Ceylon, Minnesota","Democratic, Republican",Vice President,20
Richard Nixon,Richard Milhous Nixon,1913-01-09,Died,"Yorba Linda, California","Democratic Party, Republican",Vice President,20
Dan Quayle,James Danforth Quayle,1947-02-04, 74,Indianapolis,"Democratic Party, Republican",Vice President,20
Nelson Rockefeller,Nelson Aldrich Rockefeller,1908-07-08,Died,"Bar Harbor, Maine","Democratic Party, Republican",Vice President,20
Theodore Roosevelt,Theodore Roosevelt Jr.,1858-10-27,Died,"New York City, U.S.","Democratic, Republican",Vice President,20
James S. Sherman,James Schoolcraft Sherman,1855-10-24,Died,"Utica, New York","Democratic candidate, Republican",Vice President,20
Harry S. Truman,Harry S. Truman,1884-05-08,Died,"Lamar, Missouri","Democratic, Republican",Vice President,20
Henry A. Wallace,Henry Agard Wallace,1888-10-07,Died,"Orient, Iowa","Democratic, Republican",Vice President,20
John C. Breckinridge,John Cabell Breckinridge,1821-01-16,Died,"Lexington, Kentucky","Democratic, Republican",Vice President,19
Aaron Burr,Aaron Burr Jr.,1756-02-06,Died,Newark,Democratic-Republican,Vice President,19
John C. Calhoun,John Caldwell Calhoun,1782-03-18,Died,Abbeville,Democratic-Republican,Vice President,19
Schuyler Colfax,Schuyler Colfax Jr.,1823-03-23,Died,Manhattan,"Democratic Party, House Republican Conference",Vice President,19
George M. Dallas,George Mifflin Dallas,1792-07-10,Died,Philadelphia,"Democratic, Democratic-Republican Party United States senators",Vice President,19
Millard Fillmore,Millard Fillmore,1800-01-07,Died,"Moravia, New York","Democratic, National Republicans",Vice President,19
Elbridge Gerry,Elbridge Thomas Gerry,1744-07-17,Died,Marblehead,Democratic-Republican,Vice President,19
Hannibal Hamlin,Hannibal Hamlin,1809-08-27,Died,Paris,"Democratic, Republican",Vice President,19
Thomas A. Hendricks,Thomas Andrews Hendricks,1819-09-07,Died,"Fultonham, Ohio","Democratic, Republican Party",Vice President,19
Garret Hobart,Garret Augustus Hobart,1844-06-03,Died,"Long Branch, New Jersey","Democratic, Republican",Vice President,19
Thomas Jefferson,Thomas Jefferson,1743-04-13,Died,Shadwell,Democratic-Republican,Vice President,19
Andrew Johnson,Andrew Johnson,1808-12-29,Died,"Raleigh, North Carolina","Democratic, Republican",Vice President,19
Richard Mentor Johnson,Richard Mentor Johnson,1780-10-17,Died,Virginia,Democratic-Republican,Vice President,19
William R. King,William Rufus DeVane King,1786-04-07,Died,"Sampson County, North Carolina","Democratic, Democratic-Republican",Vice President,19
Levi P. Morton,Levi Parsons Morton,1824-05-16,Died,"Shoreham, Vermont","Democratic Party, Republican",Vice President,19
Adlai Stevenson,Adlai Ewing Stevenson,1835-10-23,Died,"Christian County, Kentucky","Democratic, Republicans",Vice President,19
Daniel D. Tompkins,Daniel D. Tompkins,1774-06-21,Died,Scarsdale,Democratic-Republican,Vice President,19
John Tyler,John Tyler,1790-03-29,Died,Greenway Plantation,Democratic-Republican,Vice President,19
Martin Van Buren,Maarten van Buren,1782-12-05,Died,"Kinderhook, New York",Democratic-Republican,Vice President,19
William A. Wheeler,William Almon Wheeler,1819-06-30,Died,"Malone, New York","Democratic Party, Republican",Vice President,19
Henry Wilson,Jeremiah Jones Colbath,1812-02-16,Died,"Farmington, New Hampshire","""Democratic Illiberality"", Republican",Vice President,19
George Clinton,George Clinton,July 26 [O.S. July 15] 1739,Died,"Little Britain, Province of New York, British America",Democratic-Republican,Vice President,19
